Symbol,Security,GICS Sector,cik_str
COHR,Coherent Corp.,Information Technology,820318
COIN,Coinbase,Financials,1679788
CL,Colgate-Palmolive,Consumer Staples,21665
CMCSA,Comcast,Communication Services,1166691
FIX,Comfort Systems USA,Industrials,1035983
COP,ConocoPhillips,Energy,1163165
ED,Consolidated Edison,Utilities,1047862
STZ,Constellation Brands,Consumer Staples,16918
CEG,Constellation Energy,Utilities,1868275
COO,Cooper Companies (The),Health Care,711404
CPRT,Copart,Industrials,900075
GLW,Corning Inc.,Information Technology,24741
CPAY,Corpay,Financials,1175454
CTVA,Corteva,Materials,1755672
CSGP,CoStar Group,Real Estate,1057352
COST,Costco,Consumer Staples,909832
CRH,CRH plc,Materials,849395
CRWD,CrowdStrike,Information Technology,1535527
CCI,Crown Castle,Real Estate,1051470
CSX,CSX Corporation,Industrials,277948
CMI,Cummins,Industrials,26172
CVS,CVS Health,Health Care,64803
DHR,Danaher Corporation,Health Care,313616
DRI,Darden Restaurants,Consumer Discretionary,940944
DDOG,Datadog,Information Technology,1561550
DVA,DaVita,Health Care,927066
DECK,Deckers Brands,Consumer Discretionary,910521
DE,Deere & Company,Industrials,315189
DELL,Dell Technologies,Information Technology,1571996
DAL,Delta Air Lines,Industrials,27904
DVN,Devon Energy,Energy,1090012
DXCM,Dexcom,Health Care,1093557
FANG,Diamondback Energy,Energy,1539838
DLR,Digital Realty,Real Estate,1297996
DG,Dollar General,Consumer Staples,29534
DLTR,Dollar Tree,Consumer Staples,935703
D,Dominion Energy,Utilities,715957
DPZ,Domino's,Consumer Discretionary,1286681
DASH,DoorDash,Consumer Discretionary,1792789
DOV,Dover Corporation,Industrials,29905
DOW,Dow Inc.,Materials,1751788
DHI,D. R. Horton,Consumer Discretionary,882184
DTE,DTE Energy,Utilities,936340
DUK,Duke Energy,Utilities,1326160
DD,DuPont,Materials,1666700
ETN,Eaton Corporation,Industrials,1551182
EBAY,eBay Inc.,Consumer Discretionary,1065088
ECHO,EchoStar,Communication Services,1415404
ECL,Ecolab,Materials,31462
EIX,Edison International,Utilities,827052
EW,Edwards Lifesciences,Health Care,1099800
ELV,Elevance Health,Health Care,1156039
EME,Emcor,Industrials,105634
EMR,Emerson Electric,Industrials,32604
ETR,Entergy,Utilities,65984
EOG,EOG Resources,Energy,821189
EQT,EQT Corporation,Energy,33213
EFX,Equifax,Industrials,33185
EQIX,Equinix,Real Estate,1101239
EQR,Equity Residential,Real Estate,906107
ERIE,Erie Indemnity,Financials,922621
ESS,Essex Property Trust,Real Estate,920522
EL,Estée Lauder Companies (The),Consumer Staples,1001250
EG,Everest Group,Financials,1095073
EVRG,Evergy,Utilities,1711269
ES,Eversource Energy,Utilities,72741
EXC,Exelon,Utilities,1109357
EXE,Expand Energy,Energy,895126
EXPE,Expedia Group,Consumer Discretionary,1324424
EXPD,Expeditors International,Industrials,746515
EXR,Extra Space Storage,Real Estate,1289490
XOM,ExxonMobil,Energy,2115436
FFIV,"F5, Inc.",Information Technology,1048695
FDS,FactSet,Financials,1013237
FICO,Fair Isaac,Information Technology,814547
FAST,Fastenal,Industrials,815556
FRT,Federal Realty Investment Trust,Real Estate,34903
FDX,FedEx,Industrials,1048911
FDXF,FedEx Freight,Industrials,2082247
FERG,Ferguson Enterprises,Industrials,2011641
FIS,Fidelity National Information Services,Financials,1136893
FITB,Fifth Third Bancorp,Financials,35527
FSLR,First Solar,Information Technology,1274494
FE,FirstEnergy,Utilities,1031296
FISV,Fiserv,Financials,798354
FLEX,Flex Ltd.,Information Technology,866374
F,Ford Motor Company,Consumer Discretionary,37996
FTNT,Fortinet,Information Technology,1262039
FTV,Fortive,Industrials,1659166
FOXA,Fox Corporation (Class A),Communication Services,1754301
FOX,Fox Corporation (Class B),Communication Services,1754301
BEN,Franklin Resources,Financials,38777
FCX,Freeport-McMoRan,Materials,831259
GRMN,Garmin,Consumer Discretionary,1121788
IT,Gartner,Information Technology,749251
GE,GE Aerospace,Industrials,40545
GEHC,GE HealthCare,Health Care,1932393
GEV,GE Vernova,Industrials,1996810
GEN,Gen Digital,Information Technology,849399
GNRC,Generac,Industrials,1474735
GD,General Dynamics,Industrials,40533
GIS,General Mills,Consumer Staples,40704
GM,General Motors,Consumer Discretionary,1467858
GPC,Genuine Parts Company,Consumer Discretionary,40987
GILD,Gilead Sciences,Health Care,882095
GPN,Global Payments,Financials,1123360
GL,Globe Life,Financials,320335
GDDY,GoDaddy,Information Technology,1609711
GS,Goldman Sachs,Financials,886982
HAL,Halliburton,Energy,45012
HIG,Hartford (The),Financials,874766
HAS,Hasbro,Consumer Discretionary,46080
HCA,HCA Healthcare,Health Care,860730
DOC,Healthpeak Properties,Real Estate,765880
HSIC,Henry Schein,Health Care,1000228
HSY,Hershey Company (The),Consumer Staples,47111
HPE,Hewlett Packard Enterprise,Information Technology,1645590
HLT,Hilton Worldwide,Consumer Discretionary,1585689
HD,Home Depot (The),Consumer Discretionary,354950
HONA,Honeywell Aerospace,Industrials,2089271
HON,Honeywell Technologies,Industrials,773840
HRL,Hormel Foods,Consumer Staples,48465
HST,Host Hotels & Resorts,Real Estate,1070750
HWM,Howmet Aerospace,Industrials,4281
HPQ,HP Inc.,Information Technology,47217
HUBB,Hubbell Incorporated,Industrials,48898
HUM,Humana,Health Care,49071
HBAN,Huntington Bancshares,Financials,49196
HII,Huntington Ingalls Industries,Industrials,1501585
IBM,IBM,Information Technology,51143
IEX,IDEX Corporation,Industrials,832101
IDXX,Idexx Laboratories,Health Care,874716
ITW,Illinois Tool Works,Industrials,49826
INCY,Incyte,Health Care,879169
IR,Ingersoll Rand,Industrials,1699150
PODD,Insulet Corporation,Health Care,1145197
INTC,Intel,Information Technology,50863
IBKR,Interactive Brokers,Financials,1381197
ICE,Intercontinental Exchange,Financials,1571949
IFF,International Flavors & Fragrances,Materials,51253
IP,International Paper,Materials,51434
INTU,Intuit,Information Technology,896878
ISRG,Intuitive Surgical,Health Care,1035267
IVZ,Invesco,Financials,914208
INVH,Invitation Homes,Real Estate,1687229
IQV,IQVIA,Health Care,1478242
IRM,Iron Mountain,Real Estate,1020569
JBHT,J.B. Hunt,Industrials,728535
JBL,Jabil,Information Technology,898293
JKHY,Jack Henry & Associates,Financials,779152
J,Jacobs Solutions,Industrials,52988
JNJ,Johnson & Johnson,Health Care,200406
JCI,Johnson Controls,Industrials,833444
JPM,JPMorgan Chase,Financials,19617
KVUE,Kenvue,Consumer Staples,1944048
KDP,Keurig Dr Pepper,Consumer Staples,1418135
KEY,KeyCorp,Financials,91576
KEYS,Keysight Technologies,Information Technology,1601046
KMB,Kimberly-Clark,Consumer Staples,55785
KIM,Kimco Realty,Real Estate,879101
KMI,Kinder Morgan,Energy,1506307
KKR,KKR & Co.,Financials,1404912
KLAC,KLA Corporation,Information Technology,319201
KHC,Kraft Heinz,Consumer Staples,1637459
KR,Kroger,Consumer Staples,56873
LHX,L3Harris,Industrials,202058
LH,Labcorp,Health Care,920148
LRCX,Lam Research,Information Technology,707549
LVS,Las Vegas Sands,Consumer Discretionary,1300514
LDOS,Leidos,Industrials,1336920
LEN,Lennar,Consumer Discretionary,920760
LII,Lennox International,Industrials,1069202
LLY,Lilly (Eli),Health Care,59478
LIN,Linde plc,Materials,1707925
LYV,Live Nation Entertainment,Communication Services,1335258
LMT,Lockheed Martin,Industrials,936468
L,Loews Corporation,Financials,60086
LOW,Lowe's,Consumer Discretionary,60667
LULU,Lululemon Athletica,Consumer Discretionary,1397187
LITE,Lumentum,Information Technology,1633978
LYB,LyondellBasell,Materials,1489393
MTB,M&T Bank,Financials,36270
MPC,Marathon Petroleum,Energy,1510295
MAR,Marriott International,Consumer Discretionary,1048286
MRSH,Marsh McLennan,Financials,62709
MLM,Martin Marietta Materials,Materials,916076
MRVL,Marvell Technology,Information Technology,1835632
MAS,Masco,Industrials,62996
MA,Mastercard,Financials,1141391
MKC,McCormick & Company,Consumer Staples,63754
MCD,McDonald's,Consumer Discretionary,63908
MCK,McKesson Corporation,Health Care,927653
MDT,Medtronic,Health Care,1613103
MRK,Merck & Co.,Health Care,310158
META,Meta Platforms,Communication Services,1326801
MET,MetLife,Financials,1099219
MTD,Mettler Toledo,Health Care,1037646
MGM,MGM Resorts,Consumer Discretionary,789570
MCHP,Microchip Technology,Information Technology,827054
MU,Micron Technology,Information Technology,723125
MSFT,Microsoft,Information Technology,789019
MAA,Mid-America Apartment Communities,Real Estate,912595
MRNA,Moderna,Health Care,1682852
TAP,Molson Coors Beverage Company,Consumer Staples,24545
MDLZ,Mondelez International,Consumer Staples,1103982
MPWR,Monolithic Power Systems,Information Technology,1280452
MNST,Monster Beverage,Consumer Staples,865752
MCO,Moody's Corporation,Financials,1059556
MS,Morgan Stanley,Financials,895421
MOS,Mosaic Company (The),Materials,1285785
MSI,Motorola Solutions,Information Technology,68505
MSCI,MSCI Inc.,Financials,1408198
NDAQ,"Nasdaq, Inc.",Financials,1120193
NTAP,NetApp,Information Technology,1002047
NFLX,Netflix,Communication Services,1065280
NEM,Newmont,Materials,1164727
NWSA,News Corp (Class A),Communication Services,1564708
NWS,News Corp (Class B),Communication Services,1564708
NEE,NextEra Energy,Utilities,753308
NKE,"Nike, Inc.",Consumer Discretionary,320187
NI,NiSource,Utilities,1111711
NDSN,Nordson Corporation,Industrials,72331
NSC,Norfolk Southern,Industrials,702165
NTRS,Northern Trust,Financials,73124
NOC,Northrop Grumman,Industrials,1133421
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,1513761
NRG,NRG Energy,Utilities,1013871
NUE,Nucor,Materials,73309
NVDA,Nvidia,Information Technology,1045810
NVR,"NVR, Inc.",Consumer Discretionary,906163
NXPI,NXP Semiconductors,Information Technology,1413447
ORLY,O’Reilly Automotive,Consumer Discretionary,898173
OXY,Occidental Petroleum,Energy,797468
ODFL,Old Dominion,Industrials,878927
OMC,Omnicom Group,Communication Services,29989
ON,ON Semiconductor,Information Technology,1097864
OKE,Oneok,Energy,1039684
ORCL,Oracle Corporation,Information Technology,1341439
OTIS,Otis Worldwide,Industrials,1781335
PCAR,Paccar,Industrials,75362
PKG,Packaging Corporation of America,Materials,75677
PLTR,Palantir Technologies,Information Technology,1321655
PANW,Palo Alto Networks,Information Technology,1327567
PSKY,Paramount Skydance Corporation,Communication Services,2041610
PH,Parker Hannifin,Industrials,76334
PAYX,Paychex,Industrials,723531
PYPL,PayPal,Financials,1633917
PNR,Pentair,Industrials,77360
PEP,PepsiCo,Consumer Staples,77476
PFE,Pfizer,Health Care,78003
PCG,PG&E Corporation,Utilities,1004980
PM,Philip Morris International,Consumer Staples,1413329
PSX,Phillips 66,Energy,1534701
PNW,Pinnacle West Capital,Utilities,764622
PNC,PNC Financial Services,Financials,713676
PPG,PPG Industries,Materials,79879
PPL,PPL Corporation,Utilities,922224
PFG,Principal Financial Group,Financials,1126328
PG,Procter & Gamble,Consumer Staples,80424
PGR,Progressive Corporation,Financials,80661
PLD,Prologis,Real Estate,1045609
PRU,Prudential Financial,Financials,1137774
PEG,Public Service Enterprise Group,Utilities,788784
PTC,PTC Inc.,Information Technology,857005
PSA,Public Storage,Real Estate,1393311
PHM,PulteGroup,Consumer Discretionary,822416
PWR,Quanta Services,Industrials,1050915
QCOM,Qualcomm,Information Technology,804328
DGX,Quest Diagnostics,Health Care,1022079
Q,Qnity Electronics,Information Technology,2058873
RL,Ralph Lauren Corporation,Consumer Discretionary,1037038
RJF,Raymond James Financial,Financials,720005
RTX,RTX Corporation,Industrials,101829
O,Realty Income,Real Estate,726728
REG,Regency Centers,Real Estate,910606
REGN,Regeneron Pharmaceuticals,Health Care,872589
RF,Regions Financial Corporation,Financials,1281761
RSG,Republic Services,Industrials,1060391
RMD,ResMed,Health Care,943819
RVTY,Revvity,Health Care,31791
HOOD,Robinhood Markets,Financials,1783879
ROK,Rockwell Automation,Industrials,1024478
ROL,"Rollins, Inc.",Industrials,84839
ROP,Roper Technologies,Information Technology,882835
ROST,Ross Stores,Consumer Discretionary,745732
RCL,Royal Caribbean Group,Consumer Discretionary,884887
SPGI,S&P Global,Financials,64040
CRM,Salesforce,Information Technology,1108524
SNDK,Sandisk,Information Technology,2023554
SBAC,SBA Communications,Real Estate,1034054
SLB,Schlumberger,Energy,87347
STX,Seagate Technology,Information Technology,1137789
SRE,Sempra,Utilities,1032208
NOW,ServiceNow,Information Technology,1373715
SHW,Sherwin-Williams,Materials,89800
SPG,Simon Property Group,Real Estate,1063761
SWKS,Skyworks Solutions,Information Technology,4127
SJM,J.M. Smucker Company (The),Consumer Staples,91419
SW,Smurfit Westrock,Materials,2005951
SNA,Snap-on,Industrials,91440
SOLV,Solventum,Health Care,1964738
SO,Southern Company,Utilities,92122
LUV,Southwest Airlines,Industrials,92380
SWK,Stanley Black & Decker,Industrials,93556
SBUX,Starbucks,Consumer Discretionary,829224
STT,State Street Corporation,Financials,93751
STLD,Steel Dynamics,Materials,1022671
STE,Steris,Health Care,1757898
SYK,Stryker Corporation,Health Care,310764
SMCI,Supermicro,Information Technology,1375365
SYF,Synchrony Financial,Financials,1601712
SNPS,Synopsys,Information Technology,883241
SYY,Sysco,Consumer Staples,96021
TMUS,T-Mobile US,Communication Services,1283699
TROW,T. Rowe Price,Financials,1113169
TTWO,Take-Two Interactive,Communication Services,946581
TPR,"Tapestry, Inc.",Consumer Discretionary,1116132
TRGP,Targa Resources,Energy,1389170
TGT,Target Corporation,Consumer Staples,27419
TEL,TE Connectivity,Information Technology,1385157
TDY,Teledyne Technologies,Information Technology,1094285
TER,Teradyne,Information Technology,97210
TSLA,"Tesla, Inc.",Consumer Discretionary,1318605
TXN,Texas Instruments,Information Technology,97476
TPL,Texas Pacific Land Corporation,Energy,1811074
TXT,Textron,Industrials,217346
TMO,Thermo Fisher Scientific,Health Care,97745
TJX,TJX Companies,Consumer Discretionary,109198
TKO,TKO Group Holdings,Communication Services,1973266
TTD,Trade Desk (The),Communication Services,1671933
TSCO,Tractor Supply,Consumer Discretionary,916365
TT,Trane Technologies,Industrials,1466258
TDG,TransDigm Group,Industrials,1260221
TRV,Travelers Companies (The),Financials,86312
TRMB,Trimble Inc.,Information Technology,864749
TFC,Truist Financial,Financials,92230
TYL,Tyler Technologies,Information Technology,860731
TSN,Tyson Foods,Consumer Staples,100493
USB,U.S. Bancorp,Financials,36104
UBER,Uber,Industrials,1543151
UDR,"UDR, Inc.",Real Estate,74208
ULTA,Ulta Beauty,Consumer Discretionary,1403568
UNP,Union Pacific Corporation,Industrials,100885
UAL,United Airlines Holdings,Industrials,100517
UPS,United Parcel Service,Industrials,1090727
URI,United Rentals,Industrials,1067701
UNH,UnitedHealth Group,Health Care,731766
UHS,Universal Health Services,Health Care,352915
VLO,Valero Energy,Energy,1035002
VEEV,Veeva Systems,Health Care,1393052
VTR,Ventas,Real Estate,740260
VLTO,Veralto,Industrials,1967680
VRSN,Verisign,Information Technology,1014473
VRSK,Verisk Analytics,Industrials,1442145
VZ,Verizon,Communication Services,732712
VRTX,Vertex Pharmaceuticals,Health Care,875320
VRT,Vertiv,Industrials,1674101
VTRS,Viatris,Health Care,1792044
VICI,Vici Properties,Real Estate,1705696
V,Visa Inc.,Financials,1403161
VST,Vistra Corp.,Utilities,1692819
VMC,Vulcan Materials Company,Materials,1396009
WRB,W. R. Berkley Corporation,Financials,11544
GWW,W. W. Grainger,Industrials,277135
WAB,Wabtec,Industrials,943452
WMT,Walmart,Consumer Staples,104169
DIS,Walt Disney Company (The),Communication Services,1744489
WBD,Warner Bros. Discovery,Communication Services,1437107
WM,Waste Management,Industrials,823768
WAT,Waters Corporation,Health Care,1000697
WEC,WEC Energy Group,Utilities,783325
WFC,Wells Fargo,Financials,72971
WELL,Welltower,Real Estate,766704
WST,West Pharmaceutical Services,Health Care,105770
WDC,Western Digital,Information Technology,106040
WY,Weyerhaeuser,Real Estate,106535
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,719955
WMB,Williams Companies,Energy,107263
WTW,Willis Towers Watson,Financials,1140536
WDAY,"Workday, Inc.",Information Technology,1327811
WYNN,Wynn Resorts,Consumer Discretionary,1174922
XEL,Xcel Energy,Utilities,72903
XYL,Xylem Inc.,Industrials,1524472
YUM,Yum! Brands,Consumer Discretionary,1041061
ZBRA,Zebra Technologies,Information Technology,877212
ZBH,Zimmer Biomet,Health Care,1136869
ZTS,Zoetis,Health Care,1555280
